Temperature,TWL
2.0275e+06,3876
1.92612e+06,3848
1.82982e+06,3895
1.73833e+06,3949
1.65141e+06,3860
1.56884e+06,3934
1.4904e+06,3820
1.41588e+06,4020
1.34508e+06,3923
1.27783e+06,3750
1.21394e+06,3855
1.15324e+06,4020
1.09558e+06,3851
1.0408e+06,3811
988761,3824
939323,3972
892357,4080
847739,3876
805352,4041
765084,3950
726830,4062
690489,3897
655964,3954
623166,3979
592008,3936
562407,3881
534287,3884
507573,4058
482194,3871
458084,4002
435180,4099
413421,3832
392750,3878
373113,4012
354457,3928
336734,3872
319897,3811
303902,3926
288707,3778
274272,4096
260558,3960
247530,3916
235154,4118
223396,3783
212226,4047
201615,3853
191534,3874
181958,3982
172860,3879
164217,3877
156006,3944
148206,4036
140795,3922
133756,3920
127068,3946
120714,3974
114679,4059
108945,3822
103498,4036
98322.6,3857
93406.5,4008
88736.2,3810
84299.4,3985
80084.4,3929
76080.2,3879
72276.2,3847
68662.4,3957
65229.3,3995
61967.8,3775
58869.4,3961
55925.9,3873
53129.6,3983
50473.2,3897
47949.5,3953
45552,3949
43274.4,3931
41110.7,3937
39055.2,3904
37102.4,4071
35247.3,3918
33484.9,3916
31810.7,4041
30220.1,3908
28709.1,4034
27273.7,4066
25910,3925
24614.5,4013
23383.8,3850
22214.6,3925
21103.9,3922
20048.7,3913
19046.2,4086
18093.9,3941
17189.2,3993
16329.8,4076
15513.3,3797
14737.6,4058
14000.7,3963
13300.7,3993
12635.7,3966
12003.9,3883
11403.7,4041
10833.5,3667
10291.8,3905
9777.23,4032
9288.37,3880
8823.95,4051
8382.75,3851
7963.61,3884
7565.43,3941
7187.16,3940
6827.8,3810
6486.41,3870
6162.09,3968
5853.99,3985
5561.29,3826
5283.22,3931
5019.06,3894
4768.11,4033
4529.7,3916
4303.22,4052
4088.06,3823
3883.66,3986
3689.47,3994
3505,3921
3329.75,3836
3163.26,3896
3005.1,3934
2854.84,3978
2712.1,3969
2576.5,3910
2447.67,3989
2325.29,3776
2209.02,3968
2098.57,3894
1993.64,3975
1893.96,3884
1799.26,3975
1709.3,3938
1623.84,4024
1542.64,3877
1465.51,3854
1392.24,3845
1322.62,3951
1256.49,3869
1193.67,4058
1133.98,3879
1077.29,3916
1023.42,3948
972.25,3761
923.638,3848
877.456,3931
833.583,4049
791.904,3958
752.309,4044
714.693,3897
678.959,3810
645.011,3972
612.76,3837
582.122,3903
553.016,3987
525.365,3890
499.097,3920
474.142,4020
450.435,3912
427.913,3935
406.518,3820
386.192,4001
366.882,3894
348.538,3886
331.111,3928
314.556,3857
298.828,3808
283.886,3866
269.692,4025
256.207,3990
243.397,4020
231.227,3881
219.666,3945
208.683,3774
198.248,3972
188.336,3802
178.919,3984
169.973,3793
161.475,3848
153.401,3909
145.731,3857
138.444,3795
131.522,3954
124.946,3934
118.699,3815
112.764,3903
107.126,3842
101.769,3847
96.6808,3855
91.8468,3922
87.2544,3831
82.8917,3671
78.7471,3888
74.8098,3771
71.0693,3829
67.5158,3912
64.14,3809
60.933,3835
57.8864,3718
54.9921,3614
52.2425,3756
49.6303,3785
47.1488,3700
44.7914,3706
42.5518,3665
40.4242,3709
38.403,3778
36.4829,3732
34.6587,3785
32.9258,3644
31.2795,3715
29.7155,3621
28.2297,3686
26.8182,3528
25.4773,3653
24.2035,3575
22.9933,3591
21.8436,3562
20.7514,3426
19.7139,3520
18.7282,3656
17.7918,3544
16.9022,3545
16.0571,3587
15.2542,3430
14.4915,3657
13.7669,3432
13.0786,3289
12.4247,3287
11.8034,3387
11.2133,3252
10.6526,3262
10.12,3386
9.61396,3021
9.13327,3113
8.6766,3136
8.24277,3199
7.83063,2982
7.4391,2788
7.06715,2858
6.71379,2783
6.3781,2845
6.0592,2566
5.75624,2568
5.46842,2547
5.195,2469
4.93525,2387
4.68849,2363
4.45407,2367
4.23136,2309
4.01979,2265
3.8188,2210
3.62786,2101
3.44647,2095
3.27415,1950
3.11044,1983
2.95492,1867
2.80717,1853
2.66681,1797
2.53347,1819
2.4068,1646
2.28646,1724
2.17214,1611
2.06353,1641
1.96035,1621
1.86234,1611
1.76922,1554
1.68076,1601
1.59672,1601
1.51688,1533
1.44104,1485
1.36899,1427
1.30054,1387
1.23551,1367
1.17374,1356
1.11505,1323
1.0593,1272
1.00633,1264
0.956015,1266
0.908214,1276
0.862804,1265
0.819663,1251
0.77868,1227
0.739746,1213
0.702759,1202
0.667621,1185
0.63424,1158
0.602528,1163
0.572402,1148
0.543781,1134
0.516592,1118
0.490763,1108
0.466225,1107
0.442913,1104
0.420768,1094
0.399729,1090
0.379743,1084
0.360756,1079
0.342718,1076
0.325582,1072
0.309303,1067
0.293838,1061
0.279146,1057
0.265189,1056
0.251929,1054
0.239333,1053
0.227366,1055
0.215998,1052
0.205198,1051
0.194938,1049
0.185191,1047
0.175932,1046
0.167135,1043
0.158778,1042
0.150839,1041
0.143297,1037
0.136132,1035
0.129326,1035
0.12286,1034
0.116717,1032
0.110881,1031
0.105337,1030
0.10007,1030
0.0950664,1028
0.0903131,1028
0.0857974,1028
0.0815075,1027
0.0774322,1027
0.0735606,1027
0.0698825,1027
0.0663884,1027
0.063069,1026
0.0599155,1025
0.0569198,1025
0.0540738,1025
0.0513701,1023
0.0488016,1021
0.0463615,1021
0.0440434,1018
