Temperature,TWL
1.7905e+06,3610
1.70098e+06,3671
1.61593e+06,3718
1.53513e+06,3556
1.45837e+06,3688
1.38545e+06,3779
1.31618e+06,3800
1.25037e+06,3567
1.18785e+06,3589
1.12846e+06,3800
1.07204e+06,3518
1.01844e+06,3715
967515,3639
919139,3468
873182,3847
829523,3650
788047,3634
748644,3625
711212,3637
675652,3663
641869,3712
609776,3683
579287,3522
550322,3716
522806,3555
496666,3792
471833,3617
448241,3615
425829,3573
404538,3554
384311,3621
365095,3540
346840,3657
329498,3617
313023,3670
297372,3649
282504,3735
268378,3628
254960,3609
242212,3626
230101,3671
218596,3666
207666,3695
197283,3593
187419,3564
178048,3744
169145,3452
160688,3580
152654,3696
145021,3635
137770,3667
130881,3570
124337,3664
118121,3643
112215,3488
106604,3698
101274,3707
96209.9,3735
91399.4,3676
86829.4,3528
82488,3628
78363.6,3691
74445.4,3496
70723.1,3550
67187,3660
63827.6,3531
60636.2,3500
57604.4,3504
54724.2,3740
51988,3714
49388.6,3635
46919.2,3551
44573.2,3577
42344.5,3519
40227.3,3580
38216,3705
36305.2,3721
34489.9,3533
32765.4,3526
31127.1,3716
29570.8,3587
28092.2,3573
26687.6,3544
25353.2,3595
24085.6,3667
22881.3,3518
21737.2,3554
20650.4,3577
19617.9,3662
18637,3562
17705.1,3563
16819.9,3738
15978.9,3707
15179.9,3692
14420.9,3660
13699.9,3481
13014.9,3579
12364.1,3489
11745.9,3603
11158.6,3508
10600.7,3619
10070.7,3526
9567.14,3687
9088.78,3559
8634.34,3627
8202.63,3523
7792.49,3714
7402.87,3594
7032.73,3495
6681.09,3669
6347.04,3787
6029.68,3640
5728.2,3866
5441.79,3658
5169.7,3530
4911.21,3509
4665.65,3531
4432.37,3463
4210.75,3732
4000.22,3587
3800.2,3612
3610.19,3622
3429.68,3589
3258.2,3733
3095.29,3679
2940.53,3673
2793.5,3642
2653.82,3476
2521.13,3625
2395.08,3580
2275.32,3555
2161.56,3579
2053.48,3449
1950.8,3687
1853.26,3482
1760.6,3839
1672.57,3546
1588.94,3818
1509.5,3610
1434.02,3595
1362.32,3525
1294.2,3620
1229.49,3631
1168.02,3586
1109.62,3704
1054.14,3549
1001.43,3773
951.359,3557
903.791,3604
858.601,3530
815.671,3689
774.888,3511
736.143,3772
699.336,3793
664.369,3657
631.151,3733
599.593,3560
569.614,3603
541.133,3590
514.076,3549
488.372,3732
463.954,3445
440.756,3473
418.718,3707
397.782,3565
377.893,3758
358.999,3709
341.049,3540
323.996,3694
307.796,3465
292.407,3754
277.786,3612
263.897,3557
250.702,3571
238.167,3632
226.259,3424
214.946,3607
204.198,3611
193.989,3382
184.289,3591
175.075,3673
166.321,3437
158.005,3477
150.105,3576
142.599,3520
135.469,3670
128.696,3438
122.261,3702
116.148,3496
110.341,3409
104.824,3528
99.5825,3559
94.6034,3497
89.8732,3512
85.3795,3605
81.1106,3600
77.055,3458
73.2023,3444
69.5422,3613
66.0651,3475
62.7618,3542
59.6237,3587
56.6425,3357
53.8104,3509
51.1199,3384
48.5639,3339
46.1357,3365
43.8289,3384
41.6375,3337
39.5556,3495
37.5778,3413
35.6989,3287
33.914,3310
32.2183,3361
30.6074,3415
29.077,3340
27.6231,3149
26.242,3252
24.9299,3085
23.6834,3321
22.4992,3244
21.3743,3233
20.3055,2987
19.2903,3071
18.3258,2973
17.4095,3009
16.539,3069
15.712,2984
14.9264,3152
14.1801,3014
13.4711,2817
12.7976,2731
12.1577,2778
11.5498,2749
10.9723,2853
10.4237,2727
9.90251,2804
9.40738,2809
8.93701,2765
8.49016,2728
8.06565,2493
7.66237,2491
7.27925,2467
6.91529,2583
6.56953,2391
6.24105,2361
5.929,2275
5.63255,2209
5.35092,2210
5.08337,2217
4.82921,2083
4.58774,2055
4.35836,2113
4.14044,1880
3.93342,1917
3.73675,1923
3.54991,1784
3.37241,1833
3.20379,1777
3.0436,1726
2.89142,1660
2.74685,1710
2.60951,1671
2.47903,1634
2.35508,1575
2.23733,1572
2.12546,1490
2.01919,1468
1.91823,1469
1.82232,1394
1.7312,1392
1.64464,1342
1.56241,1321
1.48429,1268
1.41007,1287
1.33957,1294
1.27259,1225
1.20896,1200
1.14851,1179
1.09109,1161
1.03653,1147
0.984708,1148
0.935472,1125
0.888699,1101
0.844264,1067
0.802051,1069
0.761948,1035
0.723851,1028
0.687658,1034
0.653275,1016
0.620612,1005
0.589581,1003
0.560102,1003
0.532097,1010
0.505492,994
0.480217,985
0.456207,971
0.433396,961
0.411726,952
0.39114,948
0.371583,943
0.353004,935
0.335354,936
0.318586,927
0.302657,932
0.287524,923
0.273148,918
0.25949,914
0.246516,907
0.23419,905
0.222481,902
0.211356,901
0.200789,897
0.190749,894
0.181212,894
0.172151,893
0.163544,892
0.155366,892
0.147598,891
0.140218,889
0.133207,889
0.126547,889
0.12022,889
0.114209,889
0.108498,888
0.103073,888
0.0979196,888
0.0930236,886
0.0883724,885
0.0839538,885
0.0797561,885
0.0757683,884
0.0719799,884
0.0683809,881
0.0649619,880
0.0617138,879
0.0586281,879
0.0556967,878
0.0529118,878
0.0502663,878
0.0477529,878
0.0453653,877
